Date,9/30/2021,,,,,,,,
,,,,,,,,,
Sum of Veterans,Column Labels,,,,,,,,
Row Labels,(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w),(w) GW Era - Post 9/11 only,Grand Total,,State,Wartime Veterans,Post 9/11 Veterans,State,Ratio
Alabama,282306,65017,347323,,Alabama,282306,65017,Alabama,23.03%
Alaska,56418,22122,78540,,Alaska,56418,22122,Alaska,39.21%
Arizona,388434,81572,470006,,Arizona,388434,81572,Arizona,21.00%
Arkansas,156129,40356,196485,,Arkansas,156129,40356,Arkansas,25.85%
California,1273362,327068,1600430,,California,1273362,327068,California,25.69%
Colorado,312671,80804,393475,,Colorado,312671,80804,Colorado,25.84%
Connecticut,118217,26649,144866,,Connecticut,118217,26649,Connecticut,22.54%
Delaware,52679,9997,62676,,Delaware,52679,9997,Delaware,18.98%
Florida,1147862,233680,1381542,,Florida,1147862,233680,Florida,20.36%
Georgia,553745,143285,697030,,Georgia,553745,143285,Georgia,25.88%
Hawaii,94073,29057,123130,,Hawaii,94073,29057,Hawaii,30.89%
Idaho,98494,21348,119842,,Idaho,98494,21348,Idaho,21.67%
Illinois,450163,102980,553143,,Illinois,450163,102980,Illinois,22.88%
Indiana,299604,71524,371128,,Indiana,299604,71524,Indiana,23.87%
Iowa,148314,32809,181123,,Iowa,148314,32809,Iowa,22.12%
Kansas,158819,43292,202111,,Kansas,158819,43292,Kansas,27.26%
Kentucky,221243,50971,272214,,Kentucky,221243,50971,Kentucky,23.04%
Louisiana,227490,55903,283393,,Louisiana,227490,55903,Louisiana,24.57%
Maine,81183,13868,95051,,Maine,81183,13868,Maine,17.08%
Maryland,299246,70569,369815,,Maryland,299246,70569,Maryland,23.58%
Massachusetts,225456,47258,272714,,Massachusetts,225456,47258,Massachusetts,20.96%
Michigan,409230,79329,488559,,Michigan,409230,79329,Michigan,19.38%
Minnesota,229068,48064,277132,,Minnesota,229068,48064,Minnesota,20.98%
Mississippi,143095,38017,181112,,Mississippi,143095,38017,Mississippi,26.57%
Missouri,321007,71855,392862,,Missouri,321007,71855,Missouri,22.38%
Montana,69780,14883,84663,,Montana,69780,14883,Montana,21.33%
Nebraska,100400,23902,124302,,Nebraska,100400,23902,Nebraska,23.81%
Nevada,173348,42858,216206,,Nevada,173348,42858,Nevada,24.72%
New Hampshire,73054,14505,87559,,New Hampshire,73054,14505,New Hampshire,19.86%
New Jersey,246505,54949,301454,,New Jersey,246505,54949,New Jersey,22.29%
New Mexico,120537,25737,146274,,New Mexico,120537,25737,New Mexico,21.35%
New York,527983,117916,645899,,New York,527983,117916,New York,22.33%
North Carolina,546320,135968,682288,,North Carolina,546320,135968,North Carolina,24.89%
North Dakota,43785,12286,56071,,North Dakota,43785,12286,North Dakota,28.06%
Ohio,539907,117169,657076,,Ohio,539907,117169,Ohio,21.70%
Oklahoma,239105,58923,298028,,Oklahoma,239105,58923,Oklahoma,24.64%
Oregon,221251,45500,266751,,Oregon,221251,45500,Oregon,20.56%
Pennsylvania,570482,115591,686073,,Pennsylvania,570482,115591,Pennsylvania,20.26%
Rhode Island,47198,11400,58598,,Rhode Island,47198,11400,Rhode Island,24.15%
South Carolina,312847,72231,385078,,South Carolina,312847,72231,South Carolina,23.09%
South Dakota,51382,13625,65007,,South Dakota,51382,13625,South Dakota,26.52%
Tennessee,348087,83795,431882,,Tennessee,348087,83795,Tennessee,24.07%
Texas,1276691,352293,1628984,,Texas,1276691,352293,Texas,27.59%
Utah,109129,30378,139507,,Utah,109129,30378,Utah,27.84%
Vermont,29539,6340.010366,35879.01037,,Vermont,29539,6340,Vermont,21.46%
Virginia,593909,162276,756185,,Virginia,593909,162276,Virginia,27.32%
Washington,436823,107508,544331,,Washington,436823,107508,Washington,24.61%
West Virginia,104943,20464,125407,,West Virginia,104943,20464,West Virginia,19.50%
Wisconsin,254426,57020,311446,,Wisconsin,254426,57020,Wisconsin,22.41%
Wyoming,37138,8435,45573,,Wyoming,37138,8435,Wyoming,22.71%
Grand Total,14822877,3513346.01,18336223.01,,,,,,
,,,,,,,,,
,,,,,,,,,
